Stock/Index,Open,High,Low,Close,Adj Close,Volume,Date
ICICI Bank,912,916,893.2000122,901.4500122,886.4658813,310445,17-04-2023
ICICI Bank,903.2999878,906.9500122,894.0999756,896.4500122,881.5490112,313964,18-04-2023
ICICI Bank,897.4500122,897.4500122,887.0499878,891.75,876.927124,113672,19-04-2023
ICICI Bank,891.2000122,899.4500122,889.0999756,894.2999878,879.4346924,148470,20-04-2023
ICICI Bank,893.2999878,900.8499756,881.6500244,884.2000122,869.5026245,142299,21-04-2023
ICICI Bank,905,906.75,895,904.6500244,889.6127319,419949,24-04-2023
ICICI Bank,907,915.9000244,903.2999878,913.0999756,897.9221802,236334,25-04-2023
ICICI Bank,908.4000244,916.3499756,906.1500244,914.8499756,899.6431274,127377,26-04-2023
ICICI Bank,912.7999878,919.75,909.7999878,918.5,903.2324829,116303,27-04-2023
ICICI Bank,917.5999756,920,910.4000244,917.7000122,902.4458008,217558,28-04-2023
